Date|Asset01|Asset02|Asset03|Asset04|Asset05|Asset06|Asset07|Asset08|Asset09|Asset10|Asset11
02-Jan-17||1012.35|||||2183.909||0.008456369|41.88|
03-Jan-17|225.24|1024.38|216.505||7500|86.91|2191.151||0.012007658|42.5|29.038
04-Jan-17|226.58|1091.66|216.507||6730|87.38|2196.434||0.007041981|42.37|29.005
05-Jan-17|226.4|971.26|216.51||6680|87.25|2178.558||-0.000194563|42.625|29.153
06-Jan-17|227.21|898.16|216.518||6510|87.23|2183.933||-0.01446963|41.875|29.478
09-Jan-17|226.46|897.51|216.522|38.03|6480|87.21|2179.652||-0.005092463|42.61|29.748
10-Jan-17|226.46|909.81|216.524|38.17|6380|87.22|2183.063||-0.011355593|42.21|29.778
11-Jan-17|227.1|789.11|216.527|38.295|6120|87.27|2191.008||-0.010261094|41.84|29.938
12-Jan-17|226.53|827.63|216.529|38.395|6104|87.29|2181.31||-0.02754442|41.645|29.813
13-Jan-17|227.05|830.7|216.538|38.375|6126|87.32|2186.384||-0.021804529|41.26|29.76
16-Jan-17||833.1||38.67|||2183.132||-0.027033797|42.54|
17-Jan-17|226.25|898.92|216.54|39.045|6080|87.23|2165.376||-0.029579468|42.18|30
18-Jan-17|226.75|875.76|216.547|39.045|6038|87.31|2168.631||-0.030482858|42.915|29.998
19-Jan-17|225.91|907.31|216.553|38.615|6162|87.03|2169.387||-0.028660349|44.285|29.945
20-Jan-17|226.74|898.86|216.563|38.655|5680|87.2|2167.003||-0.037135825|43.875|30
23-Jan-17|226.15|921.64|216.565|39.085|5590|87.2|2156.515||-0.035470599|43.74|30.02
24-Jan-17|227.6|898.19|216.568|38.995|5068|87.26|2172.107||-0.053737151|43.955|29.993
25-Jan-17|229.57|895.34|216.573|38.47|4820|87.57|2180.149||-0.070078993|44.165|30.47
26-Jan-17|229.33|914.19|216.576|38.195|4882|87.53|2183.917||-0.060065157|44.84|30.485
27-Jan-17|228.97|919.95|216.583|38.28|4766|87.61|2181.318||-0.061708106|45.065|30.488
30-Jan-17|227.55|922.79|216.586|38.355|5040|87.43|2164.107||-0.064691099|44.675|30.408
31-Jan-17|227.53|961.69|216.59|38.99|4984|87.34|2156.354|5316.745|-0.058470534|44.81|30.338
01-Feb-17|227.62|979.37|216.591|38.725|4828|87.28|2163.578||-0.060870218|45.03|32.188
02-Feb-17|227.77|1010.14|216.597|39.045|4894|87.33|2162.87||-0.061248349|45.345|32.133
03-Feb-17|229.34|1011.67|216.604|39.175|4706|87.48|2171.533||-0.055452463|45.5|32.27
06-Feb-17|228.93|1025.29|216.603|39.685|4694|87.42|2168.173||-0.054449545|45.415|32.572
07-Feb-17|228.94|1052.19|216.602|39.63|4764|87.29|2162.446||-0.064818826|45.37|32.883
08-Feb-17|229.24|1060.55|216.607|39.88|4724|87.35|2165.422||-0.062655219|45.285|33.01
09-Feb-17|230.6|977.4|216.609|39.685|4530|87.47|2173.652||-0.050484652|45.195|33.105
10-Feb-17|231.51|1004.03|216.618|39.38|4382|87.53|2195.638||-0.056749912|45.41|33.03
13-Feb-17|232.77|1002.4|216.622|39.37|4106|87.66|2202.291||-0.044219062|45.71|33.323
14-Feb-17|233.7|1011.27|216.623|39.36|3750|87.72|2206.355||-0.025541407|46.175|33.755
15-Feb-17|234.92|1015.44|216.626|39.42|3962|87.75|2220.54||-0.023475443|46.09|33.878
16-Feb-17|234.72|1038.54|216.632|39.82|4022|87.68|2208.845||-0.015101351|45.825|33.836
17-Feb-17|235.09|1058.86|216.642|39.68|4050|87.77|2204.16||-0.027950313|45.795|33.93
20-Feb-17||1064.11||39.8|||2210.557||-0.021631562|45.985|
21-Feb-17|236.49|1115.67|216.646|39.6745|4138|88.06|2222.203||-0.026991555|46.315|34.175
22-Feb-17|236.28|1129.3|216.655|39.775|4174|88.1|2223.607||-0.030226452|45.105|34.278
23-Feb-17|236.44|1164.1|216.661|40.155|4394|88.18|2218.396||-0.025222611|44.06|34.133
24-Feb-17|236.74|1177.28|216.667|40.4|4288|88.25|2211.525||-0.019480416|43.48|34.165
27-Feb-17|237.11|1194.26|216.669|40.2691|4240|88.36|2210.476||-0.008014839|43.635|34.233
28-Feb-17|236.47|1192.7|216.672|40.1131|4460|88.29|2204.57|5340.637|-0.002846676|43.585|34.248
01-Mar-17|239.78|1225.32|216.655|40.16|4268|88.23|2226.462||-0.002911997|44.575|34.948
02-Mar-17|238.27|1257.94|216.651|39.66|4286|87.95|2209.786||-0.007327864|44.6|34.74
03-Mar-17|238.42|1277.39|216.648|39.4028|4026|87.99|2202.483||0.004830864|44.78|34.945
06-Mar-17|237.71|1277.65|216.647|39.3689|3880|87.71|2199.46||0.000215084|45.2|34.835
07-Mar-17|237|1245|216.645|39.0888|3880|87.14|2202.419||-0.011953827|45.365|34.88
08-Mar-17|236.56|1165.19|216.653|38.84|3932|86.56|2195.934||-0.00236301|45.91|34.75
09-Mar-17|236.86|1199.86|216.656|38.605|3898|86.33|2187.608||-0.001361648|45.84|34.67
10-Mar-17|237.69|1100.56|216.66|38.715|3780|86.3|2187.65||-0.002155821|47.765|34.785
13-Mar-17|237.81|1237.5|216.647|38.7|3630|86.37|2192.873||-0.017248609|48.68|34.8
